,nasdaq100,nifty50,gold
2008-05-05,80362.52533868467,5192.25,35479.05769632873
2008-05-06,82244.04592119809,5144.64990234375,36192.8176574707
2008-05-07,81374.21732133487,5135.5,36262.31964538572
2008-05-08,81451.60325240297,5081.7001953125,36467.40508713992
2008-05-09,81179.52864490077,4982.60009765625,36628.91289329529
2008-05-12,83822.91634958982,5012.64990234375,37092.42344938964
2008-05-13,84755.84538737638,4957.7998046875,36794.00395774841
2008-05-14,84623.6047326019,5011.75,36666.133185430896
2008-05-15,86059.75128563168,5115.25,37239.71499252319
2008-05-16,86056.78794107027,5157.7001953125,38087.0350151062
2008-05-20,85268.55513600307,5104.9501953125,39189.08901786804
2008-05-21,84295.03077163082,5117.64990234375,39976.38317871094
2008-05-22,83725.24427180178,5025.4501953125,39111.72060052492
2008-05-23,83471.28513120115,4946.5498046875,39439.81552465819
2008-05-27,85348.95589501224,4859.7998046875,38824.144340402214
2008-05-28,85354.98240322853,4918.35009765625,38429.7368183136
2008-05-29,85870.93687697873,4835.2998046875,37308.19216651609
2008-05-30,86447.22878793161,4870.10009765625,37737.754210284445
2008-06-02,84772.93499981565,4739.60009765625,37717.88334903261
2008-06-03,84887.54021248966,4715.89990234375,37478.57907685544
2008-06-04,86503.90627994388,4585.60009765625,37653.56110029295
2008-06-05,87786.08253331203,4676.9501953125,37239.80793269654
2008-06-06,85021.49907607818,4627.7998046875,38247.90708764037
2008-06-09,84790.98125191033,4500.9501953125,38320.0031610718
2008-06-10,84016.39493412897,4449.7998046875,36966.46444204403
2008-06-11,82263.18234844785,4523.60009765625,37606.29630507203
2008-06-12,82417.9829446692,4539.35009765625,37228.706836926285
2008-06-13,84206.17724818178,4517.10009765625,37275.819892657455
2008-06-16,84773.07311074343,4572.5,37740.32374818111
2008-06-17,84519.55027253972,4653.0,37885.179240438854
2008-06-18,83612.4385323883,4582.39990234375,38178.62972780457
2008-06-19,84859.12797951512,4504.25,38592.75983451842
2008-06-20,82535.0911557083,4347.5498046875,38575.63878990174
2008-06-23,81981.50857317075,4266.39990234375,37911.90949892579
2008-06-24,81268.75487448182,4191.10009765625,37959.058588427724
2008-06-25,82482.99692144897,4252.64990234375,37533.76037597656
2008-06-26,79252.98475881806,4315.85009765625,39003.06559648132
2008-06-27,79267.07883174438,4136.64990234375,39695.049120376585
2008-06-30,78722.98140180996,4040.550048828125,39689.52402544557
2008-07-01,80308.87429989874,3896.75,40634.943504333496
2008-07-02,78452.23005508725,4093.35009765625,40812.52374637453
2008-07-03,78257.43703520205,3925.75,40150.91169869993
2008-07-07,79091.45555073302,4030.0,40144.670901739504
2008-07-08,80601.6481854273,3988.550048828125,39709.00146777043
2008-07-09,78392.10515348567,4157.10009765625,39959.210196707165
2008-07-10,78792.4612867944,4162.2001953125,40300.630534838885
2008-07-11,77563.61369546875,4049.0,41097.30470275879
2008-07-14,77514.87270276062,4039.699951171875,41934.07028562622
2008-07-15,77494.49544662936,3861.10009765625,42131.04800107726
2008-07-16,78790.4069044278,3816.699951171875,41098.67430977174
2008-07-17,79172.8225332303,3947.199951171875,41434.51961517334
2008-07-18,77881.0911223758,4092.25,40892.02589877625
2008-07-21,77618.22347439453,4159.5,41079.10314110108
2008-07-22,76502.57793687377,4240.10009765625,39813.15756225586
2008-07-23,77506.13723563589,4476.7998046875,38737.109933373984
2008-07-24,76818.2793924585,4433.5498046875,38980.31588745117
2008-07-25,78068.44273894653,4311.85009765625,39174.79365471192
2008-07-28,76655.92033393495,4332.10009765625,39437.83948630374
2008-07-29,78271.6218254501,4189.85009765625,38865.44079219969
2008-07-30,78621.7137663085,4313.5498046875,38313.65792761836
2008-07-31,78466.82863722835,4332.9501953125,38780.431906805374
2008-08-01,77508.24607035145,4413.5498046875,38572.50428009033
2008-08-04,76586.57569469977,4395.35009765625,38194.84066094365
2008-08-05,79341.3927166406,4502.85009765625,37282.50970162358
2008-08-06,80421.33589651436,4517.5498046875,37155.20770729985
2008-08-07,79779.73405232001,4523.85009765625,36947.282670550514
2008-08-08,81737.63934661075,4529.5,36399.88305897219
2008-08-11,82374.1493182294,4620.39990234375,34859.52944564819
2008-08-12,82367.35842815135,4552.25,34295.15778880613
2008-08-13,82407.6738343127,4529.0498046875,35008.04843902588
2008-08-14,83356.49741041381,4430.7001953125,34295.15778880613
2008-08-18,82012.1860711854,4393.0498046875,33934.46880488889
2008-08-19,80992.92578777578,4368.25,34418.214829339646
2008-08-20,81177.08788918331,4415.75,34384.26814884646
2008-08-21,80910.6011378821,4283.85009765625,35347.52042388916
2008-08-22,81959.99308230169,4327.4501953125,35109.891070471145
2008-08-25,82533.51827871706,4335.35009765625,35804.763841400156
2008-08-26,82345.40966885258,4337.5,35892.318780871574
2008-08-27,82948.10003097542,4292.10009765625,36146.56519790646
2008-08-28,83547.1097869873,4214.0,36248.01356506348
2008-08-29,81689.55920410156,4360.0,36178.21196746826
2008-09-02,81208.19854251528,4504.0,35333.86625289917
2008-09-04,79107.27354973089,4447.75,35564.799273556564
2008-09-05,78815.31821112148,4352.2998046875,35551.425196581986
2008-09-08,78955.47527576145,4482.2998046875,35716.83444023132
2008-09-09,77571.32039281912,4468.7001953125,35465.93631066289
2008-09-10,78890.99380122684,4400.25,34401.08164556883
2008-09-11,80897.95137180481,4290.2998046875,33811.43378847046
2008-09-12,80600.56676056702,4228.4501953125,34678.042789630126
2008-09-15,79627.92323407903,4072.89990234375,36562.93678468326
2008-09-16,79457.67603896232,4074.89990234375,35786.556898117065
2008-09-17,75956.26268207096,4008.25,39391.449695642106
2008-09-18,77580.58621658944,4038.14990234375,40800.855692504905
2008-09-19,79757.97317332774,4245.25,39333.72345996089
2008-09-22,76253.40193039738,4223.0498046875,41373.31133819884
2008-09-23,75653.31987506105,4126.89990234375,40640.02290534973
2008-09-24,76703.60102905892,4161.25,41045.12837219238
2008-09-25,78467.70402440801,4110.5498046875,40811.29613187257
2008-09-26,77746.51957328618,3985.25,41053.086305188015
2008-09-29,69722.08989027562,3850.050048828125,41391.01031388552
2008-09-30,74257.13757860474,3921.199951171875,40708.87314229738
2008-10-01,72558.75574534293,3950.75,40863.59833441465
2008-10-03,69089.76508606691,3818.300048828125,38935.92049265746
2008-10-06,67343.4583276147,3602.35009765625,41166.31789244688
2008-10-07,63772.54107817076,3606.60009765625,42119.28184082033
2008-10-08,63321.06964779692,3513.64990234375,42976.72276816098
2008-10-10,61487.52819066774,3279.949951171875,41421.035669354256
2008-10-13,68615.06436546147,3490.699951171875,40265.524293469265
2008-10-14,66052.97562977299,3518.64990234375,40481.099888244644
