,0,1,2,3,4,5,6,7,8,9
2016-08-31,MUTHOOTFIN,HINDZINC,CHOLAFIN,VEDL,SHREECEM,INDHOTEL,TVSMOTOR,IOC,DLF,BPCL
2016-09-30,MUTHOOTFIN,VEDL,HINDZINC,CHOLAFIN,TVSMOTOR,INDHOTEL,IOC,BPCL,SHREECEM,ADANIENSOL
2016-10-31,MUTHOOTFIN,VEDL,CHOLAFIN,HINDZINC,IOC,BPCL,TVSMOTOR,GAIL,MOTHERSON,SHREECEM
2016-11-30,VEDL,HINDZINC,MUTHOOTFIN,CHOLAFIN,ADANIENSOL,IOC,BPCL,SHREECEM,PFC,RECLTD
2016-12-31,VEDL,HINDZINC,MUTHOOTFIN,IOC,ADANIENSOL,CHOLAFIN,BPCL,SHREECEM,TVSMOTOR,PFC
2017-01-31,VEDL,HINDZINC,IOC,ADANIENSOL,CHOLAFIN,RECLTD,MUTHOOTFIN,BPCL,PFC,PNB
2017-02-28,VEDL,JINDALSTEL,ADANIENSOL,HINDZINC,IOC,RECLTD,MUTHOOTFIN,PNB,CANBK,BPCL
2017-03-31,VEDL,RECLTD,MUTHOOTFIN,IOC,JINDALSTEL,HINDZINC,ADANIENSOL,PNB,PFC,CANBK
2017-04-30,VEDL,ADANIENSOL,RECLTD,IOC,MUTHOOTFIN,PNB,PFC,CANBK,HINDZINC,JINDALSTEL
2017-05-31,ADANIENSOL,RECLTD,VEDL,IOC,JINDALSTEL,PNB,TVSMOTOR,MUTHOOTFIN,CANBK,PFC
2017-06-30,ADANIENSOL,RECLTD,VEDL,IOC,JINDALSTEL,TVSMOTOR,ZYDUSLIFE,HINDZINC,MOTHERSON,MUTHOOTFIN
2017-07-31,ADANIENSOL,TVSMOTOR,JINDALSTEL,VEDL,RECLTD,HINDZINC,CANBK,ZYDUSLIFE,MOTHERSON,MUTHOOTFIN
2017-08-31,ADANIENSOL,VEDL,TVSMOTOR,IOC,BAJAJHLDNG,JINDALSTEL,RECLTD,MOTHERSON,HINDZINC,BPCL
2017-09-30,ADANIENSOL,VEDL,TVSMOTOR,JINDALSTEL,MOTHERSON,GAIL,BAJAJHLDNG,IOC,SOLARINDS,HINDZINC
2017-10-31,ADANIENSOL,JINDALSTEL,TVSMOTOR,VEDL,MOTHERSON,SOLARINDS,GAIL,BRITANNIA,MUTHOOTFIN,BAJAJHLDNG
