date,equity
2014-03-03,4617006.45
2014-03-10,4744910.98
2014-03-17,4907138.72
2014-03-24,5040724.34
2014-03-31,5155588.74
2014-04-07,5155358.02
2014-04-14,5255958.15
2014-04-21,5286817.69
2014-04-28,5460368.54
2014-05-05,5641333.45
2014-05-12,6353172.81
2014-05-19,6259123.2
2014-05-26,6771116.67
2014-06-02,6778153.97
2014-06-09,6879470.67
2014-06-16,7124014.72
2014-06-23,7454304.64
2014-06-30,6994378.01
2014-07-07,7303415.39
2014-07-14,7268639.42
2014-07-21,7265547.46
2014-07-28,7214461.79
2014-08-04,7279376.45
2014-08-11,7568809.79
2014-08-18,7671968.39
2014-08-25,8105317.09
2014-09-01,8494892.56
2014-09-08,8630858.18
2014-09-15,8342274.62
2014-09-22,8467031.84
2014-09-29,8249955.91
2014-10-06,8087865.26
2014-10-13,8252370.15
2014-10-20,8492355.71
2014-10-27,8644516.12
2014-11-03,8882823.7
2014-11-10,8965340.07
2014-11-17,8955733.25
2014-11-24,9254541.13
2014-12-01,8955843.46
2014-12-08,8877961.79
2014-12-15,8911137.48
2014-12-22,9287182.39
2014-12-29,9281527.07
2015-01-05,9356045.04
2015-01-12,9445864.95
2015-01-19,9383610.66
2015-01-26,9089556.05
2015-02-02,9387899.8
2015-02-09,9581738.76
2015-02-16,9558265.75
2015-02-23,9794483.07
2015-03-02,9717821.56
2015-03-09,9455397.17
2015-03-16,9234872.53
2015-03-23,9512802.97
2015-03-30,9760058.99
2015-04-06,9402025.44
2015-04-13,8937026.91
2015-04-20,8933676.64
2015-04-27,8885232.33
2015-05-04,8948038.61
2015-05-11,9018451.96
2015-05-18,9034713.5
2015-05-25,8867428.37
2015-06-01,8790343.74
2015-06-08,8929852.08
2015-06-15,9040987.78
2015-06-22,9255173.68
2015-06-29,9386218.56
2015-07-06,9637832.53
2015-07-13,9751033.72
2015-07-20,10054556.66
2015-07-27,10305868.51
2015-08-03,10099823.53
2015-08-10,10084095.56
2015-08-17,9567575.76
