date,nifty_close,india_vix
2020-02-20,12080.85,13.7
2020-02-24,11829.4,17.0
2020-02-25,11797.9,16.9
2020-02-26,11678.5,18.26
2020-02-27,11633.3,17.77
2020-02-28,11201.75,23.24
2020-03-02,11132.75,25.2
2020-03-03,11303.3,24.54
2020-03-04,11251.0,24.23
2020-03-05,11269.0,23.25
2020-03-06,10989.45,25.64
2020-03-09,10451.45,30.8
2020-03-11,10458.4,31.56
2020-03-12,9590.15,41.16
2020-03-13,9955.2,51.47
2020-03-16,9197.4,58.88
2020-03-17,8967.05,62.93
2020-03-18,8468.8,63.96
2020-03-19,8263.45,72.2
2020-03-20,8745.45,67.1
2020-03-23,7610.25,71.99
2020-03-24,7801.05,83.61
2020-03-25,8317.85,77.63
2020-03-26,8641.45,71.53
2020-03-27,8660.25,70.39
2020-03-30,8281.1,71.89
2020-03-31,8597.75,64.41
2020-04-01,8253.8,60.05
2020-04-03,8083.8,55.3
2020-04-07,8792.2,51.8
2020-04-08,8748.75,52.24
2020-04-09,9111.9,49.75
2020-04-13,8993.85,51.46
2020-04-15,8925.3,49.74
2020-04-16,8992.8,46.1
2020-04-17,9266.75,42.59
2020-04-20,9261.85,43.46
2020-04-21,8981.45,45.2
2020-04-22,9187.3,42.82
2020-04-23,9313.9,39.23
2020-04-24,9154.4,39.12
2020-04-27,9282.3,38.04
2020-04-28,9380.9,35.35
2020-04-29,9553.35,33.84
2020-04-30,9859.9,33.99
2020-05-04,9293.5,43.67
2020-05-05,9205.6,43.61
2020-05-06,9270.9,41.25
2020-05-07,9199.05,39.93
2020-05-08,9251.5,38.41
2020-05-11,9239.2,38.04
2020-05-12,9196.55,38.21
2020-05-13,9383.55,38.84
2020-05-14,9142.75,38.18
2020-05-15,9136.85,38.02
2020-05-18,8823.25,40.92
2020-05-19,8879.1,39.45
2020-05-20,9066.55,35.81
2020-05-21,9106.25,32.99
2020-05-22,9039.25,32.38
2020-05-26,9029.05,31.47
2020-05-27,9314.95,31.27
2020-05-28,9490.1,30.02
2020-05-29,9580.3,30.22
2020-06-01,9826.15,30.74
2020-06-02,9979.1,30.12
2020-06-03,10061.55,30.04
2020-06-04,10029.1,29.69
2020-06-05,10142.15,28.68
2020-06-08,10167.45,29.65
2020-06-09,10046.65,30.21
2020-06-10,10116.15,29.44
2020-06-11,9902.0,29.66
2020-06-12,9972.9,30.82
