entry,expiry,spot_entry,strike,india_vix,premium_paid,spot_expiry,move_pct,net_pnl_points,return_pct
2022-08-26,2022-09-29,17558.90,17550,18.22,781.82,16818.10,-4.22,-65.56,-8.22
2022-09-30,2022-10-27,17094.35,17100,19.97,741.57,17736.95,3.76,-119.45,-15.79
2022-10-28,2022-11-24,17786.80,17800,15.92,615.90,18484.10,3.92,55.88,8.90
2022-11-25,2022-12-29,18512.75,18500,13.33,607.09,18191.00,-1.74,-310.23,-50.10
2022-12-30,2023-01-25,18105.30,18100,14.87,576.27,17891.95,-1.18,-379.74,-64.60
2023-01-27,2023-02-23,17604.35,17600,17.32,663.74,17511.25,-0.53,-588.26,-86.89
2023-02-24,2023-03-29,17465.80,17450,14.19,600.01,17080.70,-2.20,-242.71,-39.66
2023-03-31,2023-04-27,17359.75,17350,12.94,491.79,17915.05,3.20,63.42,12.64
2023-04-28,2023-05-25,18065.00,18050,10.95,435.69,18321.15,1.42,-173.26,-38.99
2023-05-26,2023-06-28,18499.35,18500,11.90,533.58,18972.10,2.56,-72.15,-13.26
2023-06-30,2023-07-27,19189.05,19200,10.80,453.43,19659.90,2.45,-2.59,-0.56
2023-07-28,2023-08-31,19646.05,19650,10.14,492.31,19253.80,-2.00,-105.95,-21.10
2023-09-01,2023-09-28,19435.30,19450,11.37,482.66,19523.55,0.45,-418.76,-85.06
2023-09-29,2023-10-26,19638.30,19650,11.45,491.36,18857.25,-3.98,291.56,58.17
2023-10-27,2023-11-30,19047.25,19050,10.91,512.46,20133.15,5.70,560.44,107.22
2023-12-01,2023-12-28,20267.90,20250,12.38,550.68,21778.70,7.45,967.01,172.16
2023-12-29,2024-01-25,21731.40,21750,14.50,685.83,21352.60,-1.74,-302.15,-43.19
2024-01-29,2024-02-29,21737.60,21750,15.68,795.17,21982.80,1.13,-578.27,-71.30
2024-03-01,2024-03-28,22338.75,22350,15.24,741.12,22326.90,-0.05,-732.84,-96.94
2024-04-01,2024-04-25,22462.00,22450,12.08,560.46,22570.35,0.48,-451.32,-78.95
2024-04-26,2024-05-30,22419.95,22400,10.93,607.49,22488.65,0.31,-530.99,-85.69
2024-05-31,2024-06-27,22530.70,22550,24.60,1202.27,24044.50,6.72,268.18,21.87
2024-06-28,2024-07-25,24010.60,24000,13.80,724.13,24406.10,1.65,-332.51,-45.02
2024-07-26,2024-08-29,24834.85,24850,12.25,746.62,25151.95,1.28,-459.60,-60.35
2024-08-30,2024-09-26,25235.90,25250,13.39,736.67,26216.05,3.88,214.65,28.57
2024-09-27,2024-10-31,26178.95,26200,11.96,768.27,24205.35,-7.54,1211.01,154.54
2024-11-01,2024-11-28,24304.35,24300,15.90,842.01,23914.15,-1.61,-473.00,-55.07
2024-11-29,2024-12-26,24131.10,24150,14.43,758.04,23750.20,-1.58,-373.40,-48.29
2024-12-27,2025-01-30,23813.40,23800,13.24,775.44,23249.50,-2.37,-240.45,-30.40
2025-01-31,2025-02-27,23508.40,23500,16.25,832.43,22545.05,-4.10,105.87,12.47
2025-02-28,2025-03-27,22124.70,22100,13.91,673.99,23591.95,6.63,804.48,117.02
2025-03-28,2025-04-24,23519.35,23500,12.72,655.92,24246.70,3.09,77.67,11.61
2025-04-25,2025-05-29,24039.35,24050,17.16,1007.37,24833.60,3.30,-243.92,-23.74
2025-05-30,2025-06-26,24750.70,24750,16.08,866.78,25549.00,3.23,-85.12,-9.63
2025-06-27,2025-07-31,25637.80,25650,12.39,779.73,24768.35,-3.39,86.33,10.85
2025-08-01,2025-08-28,24565.35,24550,11.98,645.71,24500.90,-0.26,-609.53,-92.55
2025-08-29,2025-09-25,24426.85,24450,11.75,626.15,24890.85,1.90,-197.82,-30.97
2025-09-26,2025-10-30,24654.70,24650,11.43,695.01,25877.85,4.96,518.94,73.20
2025-10-31,2025-11-27,25722.10,25700,12.15,686.17,26215.55,1.92,-184.35,-26.34
2025-11-28,2025-12-24,26202.95,26200,11.62,654.38,26142.10,-0.23,-609.57,-91.33
2025-12-26,2026-01-29,26042.30,26050,9.15,590.85,25418.90,-2.39,28.43,4.72
2026-01-30,2026-02-26,25320.65,25300,13.63,755.37,25496.55,0.69,-573.93,-74.49
2026-02-27,2026-03-25,25178.65,25200,13.70,737.06,23306.45,-7.44,1141.75,151.87
2026-03-27,2026-04-30,22819.60,22800,26.80,1489.03,23997.55,5.16,-321.26,-21.15
2026-05-04,2026-05-27,24119.30,24100,18.30,886.81,23907.15,-0.88,-711.70,-78.68
2026-05-29,2026-06-25,23547.75,23550,16.19,830.03,24056.00,2.16,-340.63,-40.23
2026-06-29,2026-07-30,23946.25,23950,13.61,762.65,24317.15,1.55,-410.75,-52.80
